Data,NFLX,RADL3,CDI,IBOV ,T-Bond,AMZN,BBDC3,EMBR3,VVAR3,JHSF3,MSFT,061395,,,,,,,,,,,,,,
Jan-10,8.89,8.10,0.66,65401.00,3.61,125.41, 6.75 , 8.74 , 3.05 ,2.66,22.12,344.10,,,,,,,,,,,,,,
Fev-10,9.44,8.34,0.59,66503.00,3.60,118.40, 6.72 , 8.58 , 2.52 ,2.59,22.61,346.13,,,,,,,,,,,,,,
Mar-10,10.53,8.60,0.76,70371.00,3.83,135.77, 6.89 , 9.20 , 3.07 ,2.52,23.10,369.19,,,,,,,,,,,,,,
Abr-10,14.13,9.03,0.66,67529.00,3.66,137.10, 6.80 , 8.99 , 2.91 ,2.21,24.08,359.01,,,,,,,,,,,,,,
Mai-10,15.88,8.91,0.75,63046.00,3.30,125.46, 6.48 , 8.59 , 3.00 ,1.92,20.44,336.18,,,,,,,,,,,,,,
Jun-10,15.52,10.44,0.79,60935.00,2.95,109.26, 6.17 , 8.22 , 2.93 ,2.06,18.23,342.06,,,,,,,,,,,,,,
Jul-10,14.65,11.07,0.86,67515.00,2.91,117.89, 7.53 , 10.17 , 3.52 ,2.39,20.44,365.40,,,,,,,,,,,,,,
Ago-10,17.93,11.19,0.89,65145.00,2.48,124.83, 7.21 , 9.56 , 3.44 ,2.37,18.69,359.36,,,,,,,,,,,,,,
Set-10,23.17,13.10,0.84,69429.00,2.52,157.06, 7.87 , 10.48 , 3.48 ,2.45,19.50,374.73,,,,,,,,,,,,,,
Out-10,24.80,13.05,0.81,70673.00,2.61,165.23, 8.01 , 10.75 , 3.42 ,2.55,21.23,392.20,,,,,,,,,,,,,,
Nov-10,29.41,12.73,0.81,67705.00,2.80,175.40, 7.74 , 11.00 , 4.36 ,2.65,20.24,383.03,,,,,,,,,,,,,,
Dez-10,25.10,12.32,0.93,69304.00,3.31,180.00, 7.67 , 10.65 , 4.47 ,2.87,22.36,390.18,,,,,,,,,,,,,,
Jan-11,30.58,10.95,0.86,66574.00,3.38,169.64, 7.28 , 12.20 , 5.04 ,2.66,22.21,375.17,,,,,,,,,,,,,,
Fev-11,29.52,11.59,0.84,67383.00,3.41,173.29, 7.61 , 12.65 , 6.28 ,2.63,21.42,374.98,,,,,,,,,,,,,,
Mar-11,33.97,11.68,0.92,68586.00,3.45,180.13, 8.36 , 12.24 , 6.19 ,3.40,20.46,393.72,,,,,,,,,,,,,,
Abr-11,33.24,10.36,0.84,66132.00,3.30,195.81, 7.95 , 11.21 , 5.96 ,3.51,20.89,394.29,,,,,,,,,,,,,,
Mai-11,38.69,10.27,0.99,64620.00,3.05,196.69, 7.88 , 11.34 , 6.07 ,4.08,20.29,392.03,,,,,,,,,,,,,,
Jun-11,37.53,9.81,0.95,62403.00,3.16,204.49, 8.09 , 10.88 , 5.50 ,4.12,21.09,386.59,,,,,,,,,,,,,,
Jul-11,38.00,11.51,0.97,58823.00,2.81,222.52, 7.55 , 10.25 , 5.50 ,3.86,22.23,364.13,,,,,,,,,,,,,,
Ago-11,33.57,11.51,1.07,56495.00,2.22,215.23, 7.15 , 9.23 , 4.81 ,3.95,21.60,360.99,,,,,,,,,,,,,,
Set-11,16.18,10.36,0.94,52324.00,1.92,216.23, 6.94 , 10.83 , 4.24 ,3.52,20.22,352.84,,,,,,,,,,,,,,
Out-11,11.73,9.95,0.88,58338.00,2.17,213.51, 7.57 , 10.92 , 4.13 ,3.83,21.63,373.79,,,,,,,,,,,,,,
Nov-11,9.22,11.60,0.86,56874.00,2.07,192.29, 7.53 , 10.42 , 3.53 ,4.33,20.93,371.07,,,,,,,,,,,,,,
Dez-11,9.90,11.99,0.90,56754.00,1.87,173.10, 7.84 , 10.83 , 3.55 ,4.76,21.24,388.36,,,,,,,,,,,,,,
Jan-12,17.17,13.40,0.89,63072.00,1.80,194.44, 8.05 , 11.11 , 3.99 ,5.05,24.17,405.88,,,,,,,,,,,,,,
Fev-12,15.82,15.45,0.74,65811.00,1.98,179.69, 8.29 , 11.79 , 5.50 ,5.47,26.14,430.08,,,,,,,,,,,,,,
Mar-12,16.43,16.43,0.81,64510.00,2.21,202.51, 8.50 , 13.49 , 5.50 ,5.37,26.57,447.12,,,,,,,,,,,,,,
Abr-12,11.45,19.01,0.70,61820.00,1.93,231.90, 8.06 , 15.15 , 4.58 ,5.36,26.37,445.44,,,,,,,,,,,,,,
Mai-12,9.06,17.26,0.73,54490.00,1.58,212.91, 7.77 , 13.22 , 4.36 ,5.37,24.20,415.73,,,,,,,,,,,,,,
Jun-12,9.78,18.79,0.64,54354.00,1.58,228.35, 7.85 , 12.39 , 4.13 ,5.38,25.36,428.50,,,,,,,,,,,,,,
Jul-12,8.12,21.72,0.68,56097.00,1.49,233.30, 8.24 , 12.19 , 4.17 ,5.52,24.43,443.37,,,,,,,,,,,,,,
Ago-12,8.53,19.92,0.69,57061.00,1.56,248.27, 8.52 , 12.99 , 4.15 ,7.07,25.72,434.78,,,,,,,,,,,,,,
Set-12,7.78,21.66,0.54,59175.00,1.64,254.32, 8.40 , 12.69 , 4.13 ,6.82,24.84,439.98,,,,,,,,,,,,,,
Out-12,11.32,20.78,0.61,57068.00,1.69,232.89, 8.42 , 13.24 , 3.90 ,7.91,23.82,440.79,,,,,,,,,,,,,,
